# qz I
7.240248489830378165e-02 2.170833333333333215e+01
7.263601501661774706e-02 2.016666666666666785e+01
7.286954488100309824e-02 2.158333333333333215e+01
7.310307449064389063e-02 2.050000000000000000e+01
7.333660384472405480e-02 2.133333333333333215e+01
7.357013294242757684e-02 1.866666666666666785e+01
7.380366178293844281e-02 2.070833333333333215e+01
7.403719036544066656e-02 2.079166666666666785e+01
7.427071868911820640e-02 2.041666666666666785e+01
7.450424675315507617e-02 2.087500000000000000e+01
7.473777455673526193e-02 1.991666666666666785e+01
7.497130209904280529e-02 2.108333333333333215e+01
7.520482937926170619e-02 1.954166666666666785e+01
7.543835639657597847e-02 1.937500000000000000e+01
7.567188315016966371e-02 1.766666666666666785e+01
7.590540963922672024e-02 1.800000000000000000e+01
7.613893586293125904e-02 1.925000000000000000e+01
7.637246182046726617e-02 1.795833333333333215e+01
7.660598751101881099e-02 1.758333333333333215e+01
7.683951293376990732e-02 1.700000000000000000e+01
7.707303808790462452e-02 1.762500000000000000e+01
7.730656297260703191e-02 1.729166666666666785e+01
7.754008758706118498e-02 1.791666666666666785e+01
7.777361193045109755e-02 1.616666666666666785e+01
7.800713600196089448e-02 1.691666666666666785e+01
7.824065980077460347e-02 1.616666666666666785e+01
7.847418332607636327e-02 1.658333333333333215e+01
7.870770657705020157e-02 1.670833333333333215e+01
7.894122955288022936e-02 1.412500000000000000e+01
7.917475225275050210e-02 1.508333333333333393e+01
7.940827467584520016e-02 1.475000000000000000e+01
7.964179682134835125e-02 1.445833333333333393e+01
7.987531868844409411e-02 1.383333333333333393e+01
8.010884027631652582e-02 1.408333333333333393e+01
8.034236158414977125e-02 1.366666666666666607e+01
8.057588261112795525e-02 1.441666666666666607e+01
8.080940335643517491e-02 1.308333333333333393e+01
8.104292381925555511e-02 1.287500000000000000e+01
8.127644399877334558e-02 1.141666666666666607e+01
8.150996389417254628e-02 1.266666666666666607e+01
8.174348350463739310e-02 1.175000000000000000e+01
8.197700282935198313e-02 1.141666666666666607e+01
8.221052186750048285e-02 1.158333333333333393e+01
8.244404061826708652e-02 1.166666666666666607e+01
8.267755908083590510e-02 1.150000000000000000e+01
8.291107725439117448e-02 1.079166666666666607e+01
8.314459513811701952e-02 1.045833333333333393e+01
8.337811273119764832e-02 9.541666666666666075e+00
8.361163003281722739e-02 1.000000000000000000e+01
8.384514704215999259e-02 1.150000000000000000e+01
8.407866375841006878e-02 9.458333333333333925e+00
8.431218018075170573e-02 1.029166666666666607e+01
8.454569630836915317e-02 1.070833333333333393e+01
8.477921214044649434e-02 9.666666666666666075e+00
8.501272767616806225e-02 9.291666666666666075e+00
8.524624291471803728e-02 9.250000000000000000e+00
8.547975785528062753e-02 9.291666666666666075e+00
8.571327249704009665e-02 8.375000000000000000e+00
8.594678683918068052e-02 9.250000000000000000e+00
8.618030088088661500e-02 9.666666666666666075e+00
8.641381462134213598e-02 8.375000000000000000e+00
8.664732805973152097e-02 9.583333333333333925e+00
8.688084119523903359e-02 9.791666666666666075e+00
8.711435402704888198e-02 8.625000000000000000e+00
8.734786655434539915e-02 8.916666666666666075e+00
8.758137877631283486e-02 9.625000000000000000e+00
8.781489069213548049e-02 8.083333333333333925e+00
8.804840230099759968e-02 8.916666666666666075e+00
8.828191360208348382e-02 8.000000000000000000e+00
8.851542459457745204e-02 8.958333333333333925e+00
8.874893527766379575e-02 9.125000000000000000e+00
8.898244565052682020e-02 8.958333333333333925e+00
8.921595571235081679e-02 8.458333333333333925e+00
8.944946546232017404e-02 9.000000000000000000e+00
8.968297489961914171e-02 8.750000000000000000e+00
8.991648402343201119e-02 9.166666666666666075e+00
9.014999283294328203e-02 7.708333333333333037e+00
9.038350132733713460e-02 8.250000000000000000e+00
9.061700950579798519e-02 8.791666666666666075e+00
9.085051736751015294e-02 8.208333333333333925e+00
9.108402491165802639e-02 8.166666666666666075e+00
9.131753213742592468e-02 8.208333333333333925e+00
9.155103904399825021e-02 9.083333333333333925e+00
9.178454563055939153e-02 7.166666666666666963e+00
9.201805189629369552e-02 8.000000000000000000e+00
9.225155784038556461e-02 7.916666666666666963e+00
9.248506346201935957e-02 8.125000000000000000e+00
9.271856876037949668e-02 7.416666666666666963e+00
9.295207373465037837e-02 7.375000000000000000e+00
9.318557838401642091e-02 8.583333333333333925e+00
9.341908270766201283e-02 8.541666666666666075e+00
9.365258670477157044e-02 7.541666666666666963e+00
9.388609037452955164e-02 7.916666666666666963e+00
9.411959371612034497e-02 8.125000000000000000e+00
9.435309672872842224e-02 8.166666666666666075e+00
9.458659941153822748e-02 8.833333333333333925e+00
9.482010176373416310e-02 7.583333333333333037e+00
9.505360378450068704e-02 8.041666666666666075e+00
9.528710547302231271e-02 7.458333333333333037e+00
9.552060682848345641e-02 7.000000000000000000e+00
9.575410785006858994e-02 8.291666666666666075e+00
9.598760853696224060e-02 7.583333333333333037e+00
9.622110888834878306e-02 7.500000000000000000e+00
9.645460890341282789e-02 6.625000000000000000e+00
9.668810858133876363e-02 6.583333333333333037e+00
9.692160792131120084e-02 6.875000000000000000e+00
9.715510692251454195e-02 7.416666666666666963e+00
9.738860558413332813e-02 6.750000000000000000e+00
9.762210390535212834e-02 7.833333333333333037e+00
9.785560736846660168e-02 7.608695652173913082e+00
9.808910501951700889e-02 7.608695652173913082e+00
9.832260232772095654e-02 6.478260869565217739e+00
9.855609929226290256e-02 7.521739130434782261e+00
9.878959591232744364e-02 7.739130434782608425e+00
9.902309218709909322e-02 7.173913043478260754e+00
9.925658811576247575e-02 7.739130434782608425e+00
9.949008369750217406e-02 6.913043478260869179e+00
9.972357893150265995e-02 6.391304347826086918e+00
9.995707381694855787e-02 8.000000000000000000e+00
